21:54:53  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:56:00  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:56:52  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:57:30  |  Core  |  Warning  |  Widget property 'Caption' not found [Kenshi_InventoryTraderWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:11  |  Core  |  Warning  |  Widget property 'MultiLine' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:11  |  Core  |  Warning  |  Widget property 'ReadOnly' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:11  |  Core  |  Warning  |  Widget property 'Static' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:11  |  Core  |  Warning  |  Widget property 'VisibleHScroll' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:11  |  Core  |  Warning  |  Widget property 'VisibleVScroll' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:11  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
21:58:11  |  Core  |  Warning  |  Widget property 'MoveToClick' not found [Kenshi_GenericBuildingWindow.layout]  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1210
